year,state,percentage.Hispanic,percentage.Black,percentage.White
2011,Nevada,26.95735216,8.62135118,54.89451618
2012,Nevada,27.21694129,8.855921659,54.24616676
1994,New Hampshire,1.225931242,0.6141471783,97.02300098
1995,New Hampshire,1.26032235,0.6270079935,96.88914882
1996,New Hampshire,1.323210061,0.6674787758,96.69129383
1997,New Hampshire,1.402442357,0.6882317086,96.54110179
1998,New Hampshire,1.475363617,0.7025225136,96.37096373
1999,New Hampshire,1.587215858,0.7603840873,96.09325261
2000,New Hampshire,1.669271753,0.8183843301,95.8183924
2001,New Hampshire,1.835817436,0.890230877,95.43407218
2002,New Hampshire,1.992610447,0.9402019874,95.09908289
2003,New Hampshire,2.111592074,0.9998906113,94.81575822
2004,New Hampshire,2.230798507,1.040522556,94.55826236
2005,New Hampshire,2.343410664,1.092883129,94.28367676
2006,New Hampshire,2.471589107,1.15042239,94.02631786
2007,New Hampshire,2.570740701,1.188078078,93.80994103
2008,New Hampshire,2.675115092,1.230103062,93.57986057
2009,New Hampshire,2.760424344,1.266999062,93.38592298
2010,New Hampshire,2.803841224,1.304075111,93.26950531
2011,New Hampshire,2.914280383,1.352018585,93.02094165
2012,New Hampshire,3.03856698,1.413052857,92.76473643
1994,New Jersey,11.1316064,13.28526762,70.98706987
1995,New Jersey,11.4937175,13.32999804,70.34053911
1996,New Jersey,11.88001221,13.37775517,69.64883903
1997,New Jersey,12.2859422,13.4283828,68.90589244
1998,New Jersey,12.66731086,13.4961094,68.19195074
1999,New Jersey,13.00836213,13.53092352,67.52074742
2000,New Jersey,13.39050824,13.54672449,66.84289331
2001,New Jersey,13.82052831,13.52952446,66.11248687
2002,New Jersey,14.25111512,13.50459735,65.40156066
2003,New Jersey,14.68973314,13.4883476,64.70431216
2004,New Jersey,15.11079718,13.46641711,64.04199357
2005,New Jersey,15.52630648,13.43732656,63.38463338
2006,New Jersey,15.94425284,13.41375038,62.74365513
2007,New Jersey,16.36213202,13.38604971,62.08909199
2008,New Jersey,16.81218998,13.34676831,61.41940905
2009,New Jersey,17.3131442,13.33469703,60.70909802
2010,New Jersey,17.78979112,13.33257759,60.03050526
2011,New Jersey,18.21628475,13.32624836,59.38258908
2012,New Jersey,18.59180403,13.33627703,58.77022422
1994,New Mexico,39.52507076,1.882372661,49.06383626
1995,New Mexico,39.82494708,1.885556448,48.80004232
1996,New Mexico,40.28011911,1.905467362,48.24707275
1997,New Mexico,40.73383558,1.92828758,47.70798929
1998,New Mexico,41.19735665,1.905564811,46.998189
1999,New Mexico,41.67781107,1.913795945,46.33965716
2000,New Mexico,42.27906374,1.897261372,45.52504826
2001,New Mexico,42.77705289,1.92144959,44.89924605
2002,New Mexico,43.16639439,1.948354695,44.44321674
2003,New Mexico,43.54129318,1.955342373,44.03213935
2004,New Mexico,43.84486251,1.982080126,43.7068759
2005,New Mexico,44.19797606,1.990607957,43.38613468
2006,New Mexico,44.57634712,2.00495684,43.06381257
2007,New Mexico,45.05052586,2.012441773,42.62161633
2008,New Mexico,45.58523511,1.999391245,42.09668259
2009,New Mexico,46.03118025,2.020962273,41.63639863
2010,New Mexico,46.39579689,2.051864724,41.2699612
2011,New Mexico,46.76227622,2.058085743,40.84170615
2012,New Mexico,47.09451651,2.069744273,40.43696468
1994,New York,13.46216874,14.93143086,66.61995171
1995,New York,13.7771198,15.06387569,65.96315266
1996,New York,14.05999744,15.1833019,65.31435095
1997,New York,14.3694015,15.29755829,64.65388609
1998,New York,14.63497418,15.41167353,64.04157709
1999,New York,14.89532893,15.49711178,63.4692874
2000,New York,15.23181512,15.55764776,62.85978998
2001,New York,15.47144088,15.50906107,62.47562338
2002,New York,15.71310704,15.46403975,62.09048062
2003,New York,15.92832038,15.40867438,61.7532732
2004,New York,16.12957877,15.34347714,61.45166433
2005,New York,16.33546077,15.2797449,61.12569587
2006,New York,16.55589161,15.21290833,60.78740804
2007,New York,16.80942237,15.12396161,60.43514291
2008,New York,17.09825865,15.0691094,60.01043803
2009,New York,17.39811217,15.0543226,59.55605062
2010,New York,17.69349429,15.0753248,59.0811972
2011,New York,17.95072514,15.08917556,58.62615845
2012,New York,18.18251289,15.09128124,58.20330791
1994,North Carolina,1.859657695,22.16252669,73.75237882
1995,North Carolina,2.158870496,22.1350192,73.40132455
1996,North Carolina,2.545759246,22.07444135,72.97632078
1997,North Carolina,2.998240132,22.02130779,72.49362497
1998,North Carolina,3.524775708,21.93873036,71.95834205
1999,North Carolina,4.114167164,21.84376832,71.35947153
2000,North Carolina,4.766486001,21.76693913,70.65879415
2001,North Carolina,5.173138718,21.75509694,70.17871354
2002,North Carolina,5.547944375,21.76630134,69.71490359
2003,North Carolina,5.88344246,21.78200988,69.2780921
2004,North Carolina,6.247568148,21.77967842,68.83559418
2005,North Carolina,6.626823996,21.76341669,68.39092072
2006,North Carolina,7.009948112,21.75259917,67.93588172
2007,North Carolina,7.418570466,21.75433155,67.43951576
2008,North Carolina,7.826950875,21.77069771,66.93296241
2009,North Carolina,8.15510469,21.80861005,66.4935723
2010,North Carolina,8.419710815,21.85623578,66.10488743
2011,North Carolina,8.53143878,21.91287025,65.83967838
2012,North Carolina,8.644283527,21.9633959,65.57622862
1994,North Dakota,0.7332460717,0.5038740454,93.94250036
1995,North Dakota,0.7995900172,0.4862371726,93.79453315
1996,North Dakota,0.8716415891,0.5187720447,93.55148205
1997,North Dakota,0.9397952336,0.5148403302,93.40173245
1998,North Dakota,0.9806465163,0.5503975093,93.18427506
1999,North Dakota,1.04042008,0.5954127145,92.96773503
2000,North Dakota,1.220205507,0.7326840316,92.39653408
2001,North Dakota,1.310827432,0.8079028326,92.09685445
2002,North Dakota,1.410130248,0.8759448923,91.79604744
2003,North Dakota,1.520623277,0.9423669063,91.52120247
2004,North Dakota,1.606781396,1.035357256,91.22916683
2005,North Dakota,1.671131996,1.127244079,90.9591403
2006,North Dakota,1.739854825,1.186439634,90.69880602
2007,North Dakota,1.822702054,1.236324756,90.46003352
2008,North Dakota,1.910065712,1.285340398,90.23250792
2009,North Dakota,1.996487049,1.416759904,89.95485497
2010,North Dakota,2.046325864,1.47184838,89.73960974
2011,North Dakota,2.235235078,1.603411352,89.36607554
2012,North Dakota,2.518918596,1.797070733,88.84839058
1994,Ohio,1.463919959,11.18822817,86.16609403
1995,Ohio,1.524455913,11.30051895,85.95214693
1996,Ohio,1.588328274,11.426361,85.70152329
1997,Ohio,1.656744572,11.54387504,85.46314531
1998,Ohio,1.730940873,11.64146054,85.23451634
1999,Ohio,1.810761175,11.73059323,84.99067616
2000,Ohio,1.93159827,11.82829158,84.69344464
2001,Ohio,2.041712053,11.94369674,84.413199
2002,Ohio,2.150441681,12.05370249,84.13420748
2003,Ohio,2.261598554,12.15011594,83.85935096
2004,Ohio,2.37331508,12.23624072,83.60206216
2005,Ohio,2.496554227,12.33088669,83.32203062
2006,Ohio,2.617998638,12.42974066,83.0484549
2007,Ohio,2.748009907,12.52827276,82.7689534
2008,Ohio,2.873258928,12.62112593,82.49992553
2009,Ohio,2.988577571,12.70747867,82.25135347
2010,Ohio,3.091270475,12.78894527,82.0125634
2011,Ohio,3.181165863,12.8568439,81.78761322
2012,Ohio,3.26977114,12.9316667,81.55098517
1994,Oklahoma,3.370710833,7.606112882,79.63928021
1995,Oklahoma,3.5930933,7.621044384,79.26826246
1996,Oklahoma,3.859970678,7.670033104,78.7936933
1997,Oklahoma,4.177867407,7.73381023,78.24544749
1998,Oklahoma,4.529756601,7.832475918,77.69178496
1999,Oklahoma,4.880646653,7.910397781,77.07505673
2000,Oklahoma,5.242497536,7.949073129,76.49371158
2001,Oklahoma,5.638227914,7.972714949,75.95760145
2002,Oklahoma,6.031561329,7.982648721,75.43828172
2003,Oklahoma,6.360994861,7.974682244,74.98014204
2004,Oklahoma,6.698337387,7.991897273,74.52015229
2005,Oklahoma,7.078938521,7.995864281,74.03511867
2006,Oklahoma,7.461554942,8.031824467,73.52687328
2007,Oklahoma,7.858848999,8.054619961,72.99940099
2008,Oklahoma,8.196374138,8.042271195,72.54427393
2009,Oklahoma,8.58864334,8.084685381,71.9965074
2010,Oklahoma,8.865084957,8.155541955,71.5210356
2011,Oklahoma,9.113207338,8.190373967,71.15396297
2012,Oklahoma,9.350509582,8.229068805,70.7914533
1994,Oregon,5.268891065,1.683772984,88.92990148
1995,Oregon,5.737494618,1.719304515,88.3015128
1996,Oregon,6.112510475,1.755837728,87.75862605
1997,Oregon,6.616116527,1.762909654,87.11752227
1998,Oregon,7.092993808,1.801817119,86.46446225
1999,Oregon,7.627857998,1.830674134,85.75266924
2000,Oregon,8.113197975,1.883629743,85.06753345
2001,Oregon,8.537727185,1.915115528,84.49914171
2002,Oregon,8.91529175,1.946249585,83.99054597
2003,Oregon,9.271247254,1.963225776,83.52920581
2004,Oregon,9.628255006,1.973602192,83.08899686
2005,Oregon,10.00838038,1.999528396,82.58702392
2006,Oregon,10.3931125,2.034306187,82.06663084
2007,Oregon,10.81012686,2.069945415,81.52168336
2008,Oregon,11.19345204,2.101414051,81.03603637
2009,Oregon,11.50567138,2.139053721,80.5973061
2010,Oregon,11.787789,2.162244975,80.19571407
2011,Oregon,11.94194152,2.191606014,79.89605047
2012,Oregon,12.08417498,2.226043031,79.59637518
1994,Pennsylvania,2.354009724,9.54796339,86.54467144
1995,Pennsylvania,2.469388821,9.643385286,86.2588652
1996,Pennsylvania,2.606873192,9.735980565,85.93716245
1997,Pennsylvania,2.757009552,9.830898638,85.61979271
1998,Pennsylvania,2.900926956,9.938866564,85.28403341
1999,Pennsylvania,3.052902423,10.0459686,84.93487136
2000,Pennsylvania,3.242985914,10.13703568,84.54655433
2001,Pennsylvania,3.426799155,10.21740845,84.1845374
2002,Pennsylvania,3.630037099,10.31087344,83.78043166
2003,Pennsylvania,3.858345015,10.39806514,83.35614609
2004,Pennsylvania,4.112194279,10.49515089,82.90109955
2005,Pennsylvania,4.377907131,10.59016915,82.43110235
2006,Pennsylvania,4.661888772,10.69013203,81.93972908
2007,Pennsylvania,4.946522734,10.78064145,81.46227572
2008,Pennsylvania,5.213876788,10.86887903,81.01172785
2009,Pennsylvania,5.477419894,10.94567414,80.57441711
2010,Pennsylvania,5.713864077,11.00776623,80.17916917
2011,Pennsylvania,5.938760196,11.07502786,79.78688186
2012,Pennsylvania,6.168227416,11.14431781,79.37980657
1994,Rhode Island,6.007815268,3.977026655,87.56604591
1995,Rhode Island,6.418178135,4.098615342,86.9551879
1996,Rhode Island,6.798361826,4.227573311,86.37271487
1997,Rhode Island,7.2529168,4.369129461,85.68424728
1998,Rhode Island,7.682259214,4.528611121,84.97878592
1999,Rhode Island,8.240372471,4.710583025,84.15208737
2000,Rhode Island,8.726724988,4.869899873,83.37643344
2001,Rhode Island,9.144939847,5.013612173,82.74120222
2002,Rhode Island,9.564209964,5.16578408,82.07543187
2003,Rhode Island,9.996061015,5.300361603,81.42339234
2004,Rhode Island,10.33111572,5.459347335,80.85985302
2005,Rhode Island,10.69718967,5.581244218,80.31006184
2006,Rhode Island,11.06739184,5.687821232,79.80445792
2007,Rhode Island,11.39849525,5.833360919,79.2872512
2008,Rhode Island,11.77162529,5.939035244,78.7418614
2009,Rhode Island,12.1351004,6.023465187,78.24079435
2010,Rhode Island,12.50739317,6.092447147,77.75963438
2011,Rhode Island,12.89855775,6.1941126,77.1582715
2012,Rhode Island,13.28624439,6.229645522,76.63227597
1994,South Carolina,1.140120748,30.1730152,67.73808582
1995,South Carolina,1.271787572,30.21243766,67.49818998
1996,South Carolina,1.393946578,30.17912649,67.34927032
1997,South Carolina,1.620619862,30.07723924,67.14298225
1998,South Carolina,1.826453377,29.93380086,67.03930742
1999,South Carolina,2.078908451,29.78774151,66.86504732
2000,South Carolina,2.397232957,29.68130742,66.56773245
2001,South Carolina,2.64735873,29.60975352,66.3488147
2002,South Carolina,2.910125749,29.47194298,66.16944127
2003,South Carolina,3.160400328,29.36681399,65.96744763
2004,South Carolina,3.422196712,29.20866955,65.80873875
2005,South Carolina,3.711204524,29.01361779,65.66115944
2006,South Carolina,4.031555032,28.80739044,65.5014506
2007,South Carolina,4.370076348,28.57573282,65.34610979
2008,South Carolina,4.681479074,28.43219557,65.12717167
2009,South Carolina,4.920311503,28.30235789,64.97989486
2010,South Carolina,5.105520064,28.24840599,64.80907984
2011,South Carolina,5.157901202,28.17165125,64.78014449
2012,South Carolina,5.208123268,28.10056008,64.74876927
1994,South Dakota,0.7472734985,0.4900176521,90.89464826
1995,South Dakota,0.793576583,0.453975675,90.78266762
1996,South Dakota,0.8420763312,0.533270099,90.38227571
1997,South Dakota,0.9330536681,0.5462072524,90.0857673
1998,South Dakota,1.020832161,0.5931174252,89.80910331
1999,South Dakota,1.091666978,0.6177939585,89.45699163
2000,South Dakota,1.454665248,0.7844211239,88.67967464
2001,South Dakota,1.659823846,0.865203464,88.30484503
2002,South Dakota,1.816399568,0.9483960948,87.9588695
2003,South Dakota,1.975569868,1.013579424,87.61759734
2004,South Dakota,2.125011033,1.085026402,87.29160068
2005,South Dakota,2.26294757,1.160809962,87.00194586
2006,South Dakota,2.376400484,1.227406763,86.7347864
2007,South Dakota,2.479210432,1.324115141,86.45100003
2008,South Dakota,2.599971969,1.393651048,86.19037846
2009,South Dakota,2.689863419,1.489963039,85.8435545
2010,South Dakota,2.757847671,1.603528007,85.5987505
2011,South Dakota,2.957309455,1.726350622,85.20144396
2012,South Dakota,3.21724364,1.988636704,84.60885791
1994,Tennessee,0.9609977219,16.32704048,81.70139835
1995,Tennessee,1.095507812,16.34498706,81.49247522
1996,Tennessee,1.257199339,16.39373317,81.21757332
1997,Tennessee,1.423052997,16.42392675,80.98331167
1998,Tennessee,1.647383459,16.49559384,80.6412336
1999,Tennessee,1.875767242,16.55862178,80.29808612
2000,Tennessee,2.201581109,16.59166589,79.82916059
2001,Tennessee,2.41773781,16.67543358,79.48034609
2002,Tennessee,2.638581153,16.76000247,79.1187522
2003,Tennessee,2.855786062,16.82439518,78.78138011
2004,Tennessee,3.112179737,16.88220682,78.40444514
2005,Tennessee,3.405409096,16.90102431,78.03532832
2006,Tennessee,3.677526776,16.95198994,77.65939765
2007,Tennessee,3.978349432,16.92990963,77.32924399
2008,Tennessee,4.202748947,16.9218417,77.07877711
2009,Tennessee,4.417969562,16.96417343,76.77139888
2010,Tennessee,4.585953874,17.03426212,76.49653411
2011,Tennessee,4.676119328,17.1076995,76.26914888
2012,Tennessee,4.801833071,17.20476222,75.98598517
1994,Texas,28.1539245,11.65505696,57.62159165
1995,Texas,28.76011189,11.68728362,56.87348286
1996,Texas,29.38512152,11.67645846,56.12805606
1997,Texas,30.06821015,11.64854141,55.35782429
1998,Texas,30.7419743,11.6170279,54.61281444
1999,Texas,31.414281,11.59319727,53.84385905
2000,Texas,32.17965729,11.54218108,52.98635217
2001,Texas,32.77264953,11.55239525,52.24935508
2002,Texas,33.40129297,11.55134374,51.49380196
2003,Texas,34.03663241,11.53934893,50.75646599
2004,Texas,34.60742628,11.54031145,50.08216701
2005,Texas,35.16860015,11.55077615,49.39866204
2006,Texas,35.56574219,11.8516172,48.58377163
2007,Texas,36.1626223,11.80417928,47.9055184
2008,Texas,36.72419959,11.78307378,47.24360761
2009,Texas,37.25504008,11.79104177,46.59472769
2010,Texas,37.69998071,11.81395332,46.02029131
2011,Texas,37.97790792,11.84671261,45.58888973
2012,Texas,38.17820158,11.90724179,45.19471817
1994,Utah,6.015620935,0.7093793963,89.74865923
1995,Utah,6.386826977,0.72838683,89.31454386
1996,Utah,6.915409076,0.7459951179,88.73845731
1997,Utah,7.537749129,0.7767772566,88.02958226
1998,Utah,8.135468799,0.8025078949,87.3487045
1999,Utah,8.649401266,0.8399887088,86.7365379
2000,Utah,9.104736819,0.8940067774,86.13189028
2001,Utah,9.530436153,0.933566579,85.63213886
2002,Utah,9.941049073,0.96519508,85.1479365
2003,Utah,10.29800389,0.9815531895,84.74414833
2004,Utah,10.61234687,1.00771159,84.37391217
2005,Utah,10.96419078,1.041127973,83.95886592
2006,Utah,11.38060595,1.08691047,83.4567079
2007,Utah,11.92037251,1.125013762,82.83057697
2008,Utah,12.4193916,1.147302564,82.25689619
2009,Utah,12.76273481,1.187697385,81.81544462
2010,Utah,12.99504995,1.206669054,81.51982866
2011,Utah,13.13219872,1.22863908,81.29695283
2012,Utah,13.23255767,1.260775507,81.09470541
1994,Vermont,0.6935166725,0.4540658678,97.80880247
1995,Vermont,0.6967718276,0.4826808737,97.71325055
1996,Vermont,0.7397663133,0.540507764,97.56527276
1997,Vermont,0.8040332262,0.5255852347,97.43854638
1998,Vermont,0.7887864414,0.5472872142,97.39763764
1999,Vermont,0.8068690537,0.5677354912,97.34770119
2000,Vermont,0.9113904117,0.6353158863,97.04109787
2001,Vermont,0.9970223268,0.6966415832,96.83824358
2002,Vermont,1.068662847,0.7456429688,96.66889813
2003,Vermont,1.121293242,0.8153977127,96.51020137
2004,Vermont,1.18466899,0.8768873403,96.3500129
2005,Vermont,1.248199094,0.945405375,96.17813478
2006,Vermont,1.306325976,1.025699479,95.98469719
2007,Vermont,1.362030278,1.076696804,95.82457204
2008,Vermont,1.429621999,1.147478735,95.68181418
2009,Vermont,1.484274596,1.237482335,95.47931634
2010,Vermont,1.485665722,1.256905151,95.45050816
2011,Vermont,1.547556364,1.304549008,95.27739218
2012,Vermont,1.607007171,1.352076163,95.10075921
1994,Virginia,3.13456155,19.38648647,74.21554437
1995,Virginia,3.332307453,19.5113911,73.74121399
1996,Virginia,3.565473796,19.60848387,73.24443732
1997,Virginia,3.819710206,19.72741102,72.69869617
1998,Virginia,4.084847842,19.86040118,72.13528693
1999,Virginia,4.345477698,19.97666058,71.56132119
2000,Virginia,4.704145913,19.95026047,70.98226706
2001,Virginia,5.02405964,19.90834859,70.49939972
2002,Virginia,5.34924926,19.88444152,69.9973912
2003,Virginia,5.677199752,19.85127685,69.50306754
2004,Virginia,6.010253392,19.8346883,68.9864793
2005,Virginia,6.370454151,19.81296287,68.43055494
2006,Virginia,6.725495115,19.83700224,67.85778745
2007,Virginia,7.05032899,19.82715779,67.34404593
2008,Virginia,7.348813352,19.82351175,66.86730931
2009,Virginia,7.663825741,19.8181868,66.38470631
2010,Virginia,7.95348934,19.81092662,65.91924541
2011,Virginia,8.182369127,19.76928583,65.56574663
2012,Virginia,8.384423529,19.75801411,65.21967401
1994,Washington,5.479035884,3.231940401,84.59192199
1995,Washington,5.801412764,3.307117444,83.97198189
1996,Washington,6.137812575,3.400061008,83.33055344
1997,Washington,6.504254727,3.497618484,82.64648627
1998,Washington,6.85955017,3.540251409,81.95991307
1999,Washington,7.203652369,3.611616407,81.29780008
2000,Washington,7.562001397,3.706920822,80.60956479
2001,Washington,7.912829898,3.768434284,79.99180383
2002,Washington,8.245905846,3.822945438,79.3998165
2003,Washington,8.587059713,3.853941153,78.83806252
2004,Washington,8.952561605,3.886159506,78.26504031
2005,Washington,9.32132923,3.926163101,77.67110601
2006,Washington,9.713106127,3.98624778,77.01003319
2007,Washington,10.10090865,4.029907823,76.37273939
2008,Washington,10.52046171,4.108054105,75.69387606
2009,Washington,10.94590326,4.184313407,75.01563572
2010,Washington,11.29490544,4.224535853,74.46437358
2011,Washington,11.50428287,4.301460457,73.98682598
2012,Washington,11.69961652,4.39712926,73.49342864
1994,West Virginia,0.4700561024,3.155533802,95.80201503
1995,West Virginia,0.4860448539,3.193891539,95.74864287
1996,West Virginia,0.5061970323,3.227054084,95.6688801
1997,West Virginia,0.5264103989,3.25065018,95.61665493
1998,West Virginia,0.542187222,3.290080629,95.52866283
1999,West Virginia,0.5700963517,3.285187816,95.49078016
2000,West Virginia,0.6832792757,3.343071276,95.1897626
2001,West Virginia,0.7297884352,3.358792016,95.11207723
2002,West Virginia,0.7775501907,3.382659047,95.02562847
2003,West Virginia,0.836839477,3.421297305,94.90712053
2004,West Virginia,0.8919104313,3.453902638,94.79288586
2005,West Virginia,0.9652885044,3.490320199,94.67391233
2006,West Virginia,1.04096915,3.55224978,94.51138786
2007,West Virginia,1.098442138,3.606440821,94.38423774
2008,West Virginia,1.15279491,3.656394847,94.26276008
2009,West Virginia,1.193002395,3.723721774,94.13261896
2010,West Virginia,1.209289031,3.773803681,94.06130847
2011,West Virginia,1.27231031,3.812133013,93.9203395
2012,West Virginia,1.329825053,3.847438273,93.79594519
1994,Wisconsin,2.398748032,5.365354041,90.0801141
1995,Wisconsin,2.559926679,5.454174443,89.7568602
1996,Wisconsin,2.722932719,5.558867653,89.40781103
1997,Wisconsin,2.918776738,5.624971873,89.06760893
1998,Wisconsin,3.135735848,5.687856855,88.71072048
1999,Wisconsin,3.353557114,5.772647303,88.2908849
2000,Wisconsin,3.635486348,5.868571989,87.79945809
2001,Wisconsin,3.879737406,5.959123961,87.39343812
2002,Wisconsin,4.11367008,6.049057861,86.99388558
2003,Wisconsin,4.333933238,6.122916052,86.62736168
2004,Wisconsin,4.551973458,6.184519261,86.28388767
2005,Wisconsin,4.787469398,6.258088921,85.9057951
2006,Wisconsin,5.031881678,6.335511967,85.51685251
2007,Wisconsin,5.280019249,6.416047694,85.11857988
2008,Wisconsin,5.511721689,6.491530928,84.73893617
2009,Wisconsin,5.744643396,6.565843468,84.36828837
2010,Wisconsin,5.936210681,6.635246912,84.04187996
2011,Wisconsin,6.068631297,6.691087354,83.76904674
2012,Wisconsin,6.198760534,6.731873639,83.50833375
1994,Wyoming,5.725999046,0.7243645934,90.95116837
1995,Wyoming,5.732541842,0.7397559568,90.96359964
1996,Wyoming,5.726319067,0.7546597783,90.89573855
1997,Wyoming,5.929091983,0.724280878,90.71715044
1998,Wyoming,6.067805382,0.7697840407,90.49404324
1999,Wyoming,6.170645411,0.788563992,90.26048233
2000,Wyoming,6.473599029,0.8527210196,89.79283836
2001,Wyoming,6.662394346,0.9032521525,89.46906644
2002,Wyoming,6.850567081,0.9267684899,89.22816624
2003,Wyoming,7.036207948,0.939511732,89.02439751
2004,Wyoming,7.267838132,0.9685605748,88.73220901
2005,Wyoming,7.503155651,0.9827737442,88.46830832
2006,Wyoming,7.735900679,0.9979585472,88.15306878
2007,Wyoming,8.043359582,1.035567122,87.79305858
2008,Wyoming,8.414905053,1.020249321,87.40612003
2009,Wyoming,8.711067766,1.081895004,87.01279448
2010,Wyoming,8.951963905,1.06038302,86.81004689
2011,Wyoming,9.116209432,1.136465718,86.51759214
2012,Wyoming,9.504217489,1.562681508,85.65602975
