state,year,criminal_law,criminal_law_detailed
Virginia,2000,Yes,yes_all
Virginia,2001,Yes,yes_all
Virginia,2002,Yes,yes_all
Virginia,2003,Yes,yes_all
Virginia,2004,Yes,yes_all
Virginia,2005,Yes,yes_all
Virginia,2006,Yes,yes_all
Virginia,2007,Yes,yes_all
Virginia,2008,Yes,yes_all
Virginia,2009,Yes,yes_all
Virginia,2010,Yes,yes_all
Virginia,2011,Yes,yes_all
Virginia,2012,Yes,yes_all
Washington,1994,Yes,yes_low_exempt
Washington,1995,Yes,yes_low_exempt
Washington,1996,Yes,yes_low_exempt
Washington,1997,Yes,yes_low_exempt
Washington,1998,Yes,yes_low_exempt
Washington,1999,Yes,yes_low_exempt
Washington,2000,Yes,yes_low_exempt
Washington,2001,Yes,yes_low_exempt
Washington,2002,Yes,yes_low_exempt
Washington,2003,Yes,yes_low_exempt
Washington,2004,Yes,yes_low_exempt
Washington,2005,Yes,yes_low_exempt
Washington,2006,Yes,yes_low_exempt
Washington,2007,Yes,yes_low_exempt
Washington,2008,Yes,yes_low_exempt
Washington,2009,Yes,yes_low_exempt
Washington,2010,Yes,yes_low_exempt
Washington,2011,Yes,yes_low_exempt
Washington,2012,Yes,yes_low_exempt
West Virginia,1994,No,No
West Virginia,1995,No,No
West Virginia,1996,No,No
West Virginia,1997,No,No
West Virginia,1998,No,No
West Virginia,1999,No,No
West Virginia,2000,No,No
West Virginia,2001,No,No
West Virginia,2002,No,No
West Virginia,2003,No,No
West Virginia,2004,No,No
West Virginia,2005,No,No
West Virginia,2006,No,No
West Virginia,2007,No,No
West Virginia,2008,No,No
West Virginia,2009,No,No
West Virginia,2010,No,No
West Virginia,2011,No,No
West Virginia,2012,No,No
Wisconsin,1994,No,No
Wisconsin,1995,No,No
Wisconsin,1996,No,No
Wisconsin,1997,No,No
Wisconsin,1998,No,No
Wisconsin,1999,No,No
Wisconsin,2000,No,No
Wisconsin,2001,No,No
Wisconsin,2002,No,No
Wisconsin,2003,Yes,yes_low_exempt
Wisconsin,2004,Yes,yes_low_exempt
Wisconsin,2005,Yes,yes_low_exempt
Wisconsin,2006,Yes,yes_low_exempt
Wisconsin,2007,Yes,yes_low_exempt
Wisconsin,2008,Yes,yes_low_exempt
Wisconsin,2009,Yes,yes_low_exempt
Wisconsin,2010,Yes,yes_low_exempt
Wisconsin,2011,Yes,yes_low_exempt
Wisconsin,2012,Yes,yes_low_exempt
Wyoming,1994,No,No
Wyoming,1995,No,No
Wyoming,1996,No,No
Wyoming,1997,No,No
Wyoming,1998,No,No
Wyoming,1999,No,No
Wyoming,2000,No,No
Wyoming,2001,No,No
Wyoming,2002,No,No
Wyoming,2003,No,No
Wyoming,2004,No,No
Wyoming,2005,No,No
Wyoming,2006,No,No
Wyoming,2007,No,No
Wyoming,2008,No,No
Wyoming,2009,No,No
Wyoming,2010,No,No
Wyoming,2011,No,No
Wyoming,2012,No,No
